%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120826.170000          -94.000       22.2030     3498.4778       -5.9873       -4.2615       0.77021        58.241        4.7552        3.1548        3.1548        2.6626        45.000
20120826.170000          -84.857       19.8020     4540.7300        5.0754       -2.6817       1.29580         5.781        7.6584        5.2187        5.2187        4.2751         5.000
20120826.180000          -89.658       25.8880     3176.6836       -4.7261       -8.0033       1.50595        61.284        6.3292        4.5332        4.5332        3.8451        85.000
20120826.180000          -93.666       25.7900     3211.0347       -7.1625       -4.1739       0.94905        78.833        4.3229        3.4339        3.4339        2.9442        95.000
20120826.180000          -85.612       26.0440     3278.5854       -5.7173      -12.5023       2.97202        38.148        7.6584        6.1459        6.1459        5.6377        45.000
20120826.180000          -87.555       30.0650       24.8846       -5.0749       -4.7272       0.73548        85.188        4.7552        3.1203        3.1203        2.6118       115.000
20120826.180000          -96.695       26.9660       85.1907       -4.0852        0.5137       0.36304       123.112        3.9299        2.6337        2.6337        2.2026       125.000
20120826.180000          -94.413       29.2320       15.3785       -3.6012       -0.1001       0.32947       151.310        3.9299        2.7710        2.7710        2.3147       165.000
20120826.180000          -84.517       28.5000       51.6082       -7.4844       -8.4661       1.52421        43.993        5.2307        4.2791        4.2791        3.7634        55.000
20120826.180000          -88.207       29.2120      293.3774       -6.1427       -6.0795       1.15212        74.666        5.7538        3.8996        3.8996        3.3235       105.000
20120826.180000          -94.000       22.2030     3498.4778       -5.9336       -3.8016       0.79308        57.405        4.7552        3.2279        3.2279        2.7303        45.000
20120826.180000          -84.857       19.8020     4540.7300        5.2900       -2.0392       1.31977         4.925        7.6584        5.2963        5.2963        4.3333         5.000
20120826.190000          -89.658       25.8880     3176.6836       -4.3420       -8.1806       1.58846        60.970        6.9621        4.7069        4.7069        3.9948        85.000
20120826.190000          -93.666       25.7900     3211.0347       -6.9791       -4.0952       0.96992        78.154        4.7552        3.5156        3.5156        3.0243        85.000
20120826.190000          -85.612       26.0440     3278.5854       -5.8939      -12.5325       2.99782        37.430        7.6584        6.1884        6.1884        5.6662        35.000
